LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
2359,1,1,CLMNUM,VARCHAR2
2359,1,2,RPTDATE,DATE
2359,1,3,RPTVER,VARCHAR2
2359,1,4,CLMHNUM,VARCHAR2
2359,1,5,ESNO,VARCHAR2
2359,1,6,DEPCODE,VARCHAR2
2359,1,7,RJDATE,VARCHAR2
2359,1,8,CNUM,VARCHAR2
2359,1,9,WSNUM,VARCHAR2
2359,1,10,CLNUM,VARCHAR2
2359,1,11,CLCUNT,VARCHAR2
2359,1,12,LNDUNT,VARCHAR2
2359,1,13,SSN,VARCHAR2
2359,1,14,LSTNAM,VARCHAR2
2359,1,15,FSTNAM,VARCHAR2
2359,1,16,FSTINT,VARCHAR2
2359,1,17,EDOB,DATE
2359,1,18,ESEX,VARCHAR2
2359,1,19,EPLN,VARCHAR2
2359,1,20,ELOC,VARCHAR2
2359,1,21,MDCODE,VARCHAR2
2359,1,22,MFSTNAM,VARCHAR2
2359,1,23,MSEX,VARCHAR2
2359,1,24,MDOB,DATE
2359,1,25,MSSN,VARCHAR2
2359,1,26,MPLN,VARCHAR2
2359,1,27,PSEQNO,VARCHAR2
2359,1,28,PIDNUM,VARCHAR2
2359,1,29,PSUF,VARCHAR2
2359,1,30,PFNAME,VARCHAR2
2359,1,31,PADD1,VARCHAR2
2359,1,32,PADD2,VARCHAR2
2359,1,33,PCITY,VARCHAR2
2359,1,34,PSTATE,VARCHAR2
2359,1,35,PZIP5,VARCHAR2
2359,1,36,SCODE1,VARCHAR2
2359,1,37,SCODE2,VARCHAR2
2359,1,38,PMSPAY,VARCHAR2
2359,1,39,ADJCODE,NUMBER
2359,1,40,ADJNAME,VARCHAR2
2359,1,41,CHFDAT,DATE
2359,1,42,CHTDAT,DATE
2359,1,43,CHRDAT,DATE
2359,1,44,BTYPE,VARCHAR2
2359,1,45,DCODE1,VARCHAR2
2359,1,46,DCDESP,VARCHAR2
2359,1,47,DCODE2,VARCHAR2
2359,1,48,DCODE3,VARCHAR2
2359,1,49,DCODE4,VARCHAR2
2359,1,50,FFDIAG,VARCHAR2
2359,1,51,POSCDE,VARCHAR2
2359,1,52,CLVAR,VARCHAR2
2359,1,53,CLFUND,VARCHAR2
2359,1,54,PROCDT,DATE
2359,1,55,PDYYYY,VARCHAR2
2359,1,56,PDMON,VARCHAR2
2359,1,57,PDDAY,VARCHAR2
2359,1,58,PLNNUM,VARCHAR2
2359,1,59,CHPREV,VARCHAR2
2359,1,60,LOCCOD,VARCHAR2
2359,1,61,PPONO,VARCHAR2
2359,1,62,COBFLG,VARCHAR2
2359,1,63,CLCONT,VARCHAR2
2359,1,64,CIFDAT,DATE
2359,1,65,CITDAT,DATE
2359,1,66,PLNREV,VARCHAR2
2359,1,67,REPFLG,VARCHAR2
2359,1,68,ASNFLG,VARCHAR2
2359,1,69,PPNUM,VARCHAR2
2359,1,70,OVRFLG,VARCHAR2
2359,1,71,CDCODE,VARCHAR2
2359,1,72,CBXODE,VARCHAR2
2359,1,73,CPPONO,VARCHAR2
2359,1,74,PCNAME,VARCHAR2
2359,1,75,PSRVCD,VARCHAR2
2359,1,76,CLLTOS,VARCHAR2
2359,1,77,EXCCDE,VARCHAR2
2359,1,78,BENCDE,VARCHAR2
2359,1,79,BENSUF,VARCHAR2
2359,1,80,CLACOD,VARCHAR2
2359,1,81,CLWCOD,VARCHAR2
2359,1,82,PROCDE,VARCHAR2
2359,1,83,MODCDE,VARCHAR2
2359,1,84,PROCCDE,VARCHAR2
2359,1,85,PROCE,VARCHAR2
2359,1,86,PROCED,VARCHAR2
2359,1,87,CMODCD,VARCHAR2
2359,1,88,DVT,NUMBER
2359,1,89,LTOTCHG,NUMBER
2359,1,90,LTOTICHG,NUMBER
2359,1,91,INERCD,VARCHAR2
2359,1,92,RECDES,VARCHAR2
2359,1,93,ALLAMT,NUMBER
2359,1,94,MSCAMT,NUMBER
2359,1,95,PPODAMT,NUMBER
2359,1,96,PPDAMT,NUMBER
2359,1,97,OBMAMT,NUMBER
2359,1,98,OVAAMT,NUMBER
2359,1,99,OVBAMT,NUMBER
2359,1,100,ORCAMT,NUMBER
2359,1,101,COPAMT,NUMBER
2359,1,102,CPCODE,VARCHAR2
2359,1,103,DEDAMT,NUMBER
2359,1,104,BENDAMT,NUMBER
2359,1,105,BENAMT,NUMBER
2359,1,106,COICDE,VARCHAR2
2359,1,107,COISUF,VARCHAR2
2359,1,108,COAMT1,NUMBER
2359,1,109,COPCT1,NUMBER
2359,1,110,COAMT2,NUMBER
2359,1,111,COPCT2,NUMBER
2359,1,112,PROAMT,NUMBER
2359,1,113,MEMAMT,NUMBER
2359,1,114,TOTPD,NUMBER
2359,1,115,VODDAT,DATE
2359,1,116,VADJNO,VARCHAR2
2359,1,117,VODRCD,VARCHAR2
2359,1,118,VODDES,VARCHAR2
2359,1,119,TOOTHNO,VARCHAR2
2359,1,120,TOOTHSU,VARCHAR2
2359,1,121,COBLFLG,VARCHAR2
2359,1,122,COBALL,NUMBER
2359,1,123,COBDED,NUMBER
2359,1,124,COBAMT,NUMBER
2359,1,125,COBSAV,NUMBER
2359,1,126,DOCID,VARCHAR2
2359,1,127,BANUM,VARCHAR2
2359,1,128,BARNUM,VARCHAR2
2359,1,129,CTYPE,VARCHAR2
2359,1,130,BATYPE,VARCHAR2
2359,1,131,BLTYPE,VARCHAR2
2359,1,132,DRGCDE,VARCHAR2
2359,1,133,PMPIDNO,NUMBER
2359,1,134,PMPIDSFIX,VARCHAR2
2359,1,135,PMPFULNAME,VARCHAR2
2359,1,136,PMPADDRS1,VARCHAR2
2359,1,137,PMPADDRS2,VARCHAR2
2359,1,138,PMPCITY,VARCHAR2
2359,1,139,PMPSTATE,VARCHAR2
2359,1,140,PMPZIP5,VARCHAR2
2359,1,141,PDFROM,DATE
2359,1,142,PDTHRU,DATE
2359,1,143,EORF,VARCHAR2
2359,1,144,UNITN,VARCHAR2
