LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
2384,1,80,CI_ICD9_PRIM_SURG_PROC,VARCHAR2
2384,1,81,CI_ICD9_SEC_SURG_PROC,VARCHAR2
2384,1,82,CI_ICD9_TERT_SURG_PROC,VARCHAR2
2384,1,83,CI_ICD10_PRIM_DIAG,VARCHAR2
2384,1,84,CI_ICD10_SEC_DIAG,VARCHAR2
2384,1,85,CI_ICD10_TERT_DIAG,VARCHAR2
2384,1,86,CI_ICD10_PRIM_SURG_PROC,VARCHAR2
2384,1,87,CI_ICD10_SEC_SURG_PROC,VARCHAR2
2384,1,88,CI_ICD10_TERT_SURG_PROC,VARCHAR2
2384,1,89,CI_CPT4_PROC,VARCHAR2
2384,1,90,CI_HCPCS_CD,VARCHAR2
2384,1,91,CI_SERV_CD,VARCHAR2
2384,1,92,CI_NDC_CD,VARCHAR2
2384,1,93,CI_DEN_CD,VARCHAR2
2384,1,94,PMT_BILL_AMT,NUMBER
2384,1,95,PMT_NON_COV_AMT,NUMBER
2384,1,96,PMT_DISC_AMT,NUMBER
2384,1,97,PMT_ALLOW_AMT,NUMBER
2384,1,98,PMT_DED_AMT,NUMBER
2384,1,99,PMT_COIN_AMT,NUMBER
2384,1,100,PMT_COB_AMT,NUMBER
2384,1,101,PMT_COPAY_AMT,NUMBER
2384,1,102,PMT_HRA_AMT,NUMBER
2384,1,103,PMT_MISC_AMT,NUMBER
2384,1,104,PMT_MISC_TYP,VARCHAR2
2384,1,105,PMT_NETPAID_AMT,NUMBER
2384,1,106,PCP_PREFIX,VARCHAR2
2384,1,107,PCP_TIN,VARCHAR2
2384,1,108,PCP_SUFFIX,VARCHAR2
2384,1,109,PCP_NM,VARCHAR2
2384,1,110,UB92_REV_CD_1,VARCHAR2
2384,1,111,UB92_REV_CD_2,VARCHAR2
2384,1,112,UB92_REV_CD_3,VARCHAR2
2384,1,1,ACCT_1,VARCHAR2
2384,1,2,ACCT_2,VARCHAR2
2384,1,3,ACCT_3,VARCHAR2
2384,1,4,ACCT_4,VARCHAR2
2384,1,5,ACCT_5,VARCHAR2
2384,1,6,ACCT_6,VARCHAR2
2384,1,7,COMP_ID,VARCHAR2
2384,1,8,COMP_NM,VARCHAR2
2384,1,9,UNIT_ID,VARCHAR2
2384,1,10,UNIT_NM,VARCHAR2
2384,1,11,DIV_ID,VARCHAR2
2384,1,12,DIV_NM,VARCHAR2
2384,1,13,AON_ACCT_ID,VARCHAR2
2384,1,14,COAL,VARCHAR2
2384,1,15,EE_SSN,VARCHAR2
2384,1,16,EE_ID,VARCHAR2
2384,1,17,EE_FNM,VARCHAR2
2384,1,18,EE_LNM,VARCHAR2
2384,1,19,EE_GEN,VARCHAR2
2384,1,20,EE_DOB,DATE
2384,1,21,EE_ZIP,VARCHAR2
2384,1,22,EE_ZIP_3,VARCHAR2
2384,1,23,MEM_SSN,VARCHAR2
2384,1,24,MEM_ID,VARCHAR2
2384,1,25,MEM_FNM,VARCHAR2
2384,1,26,MEM_LNM,VARCHAR2
2384,1,27,MEM_GEN,VARCHAR2
2384,1,28,MEM_DOB,DATE
2384,1,29,MEM_ZIP,VARCHAR2
2384,1,30,MEM_ZIP_3,VARCHAR2
2384,1,31,MEM_DEP_NUM,VARCHAR2
2384,1,32,MEM_REL,VARCHAR2
2384,1,33,MEM_AON_ID,VARCHAR2
2384,1,34,MEM_STAT_CD,VARCHAR2
2384,1,35,MEM_PROD_CD,VARCHAR2
2384,1,36,MEM_PROD_DES,VARCHAR2
2384,1,37,MEM_COV_CLS,VARCHAR2
2384,1,38,CLM_NUM,VARCHAR2
2384,1,39,CLM_LINE_NUM,VARCHAR2
