#############NEW RUN STARTED#############
#############NEW RUN STARTED#############
rx_layout1013.csv rx_layout1013.csv 1.0
rx_layout1013.csv rx_layout1014.csv 0.364198562361
rx_layout1013.csv rx_layout1016.csv 0
rx_layout1013.csv rx_layout104.csv 0.356508457606
rx_layout1013.csv rx_layout1044.csv 0.381792628815
rx_layout1013.csv rx_layout1046.csv 0.476755380194
rx_layout1013.csv rx_layout1047.csv 0
rx_layout1013.csv rx_layout1059.csv 0.524028663452
rx_layout1013.csv rx_layout1063.csv 0.464022312669
rx_layout1013.csv rx_layout1066.csv 0.399447209087
rx_layout1013.csv rx_layout1074.csv 0.400561946866
rx_layout1013.csv rx_layout1075.csv 0.400561946866
rx_layout1013.csv rx_layout1077.csv 0
rx_layout1013.csv rx_layout1080.csv 0.46509180704
rx_layout1013.csv rx_layout1083.csv 0.396796928131
rx_layout1013.csv rx_layout1089.csv 0.5530219176
rx_layout1013.csv rx_layout1094.csv 0.404998569968
rx_layout1013.csv rx_layout1107.csv 0.50588710305
rx_layout1013.csv rx_layout1109.csv 0
rx_layout1013.csv rx_layout1121.csv 0.363621382746
rx_layout1014.csv rx_layout100.csv 0
rx_layout1014.csv rx_layout1002.csv 0
rx_layout1014.csv rx_layout1003.csv 0
rx_layout1014.csv rx_layout1004.csv 0.39157518535
rx_layout1014.csv rx_layout1005.csv 0
rx_layout1014.csv rx_layout1013.csv 0.398191119726
rx_layout1014.csv rx_layout1014.csv 1.0
rx_layout1014.csv rx_layout1016.csv 0
rx_layout1014.csv rx_layout104.csv 0
rx_layout1014.csv rx_layout1044.csv 0
rx_layout1014.csv rx_layout1046.csv 0.306709653473
rx_layout1014.csv rx_layout1047.csv 0
rx_layout1014.csv rx_layout1059.csv 0.341146209723
rx_layout1014.csv rx_layout1063.csv 0.299633063183
rx_layout1014.csv rx_layout1066.csv 0.298813727804
rx_layout1014.csv rx_layout1074.csv 0.303545052711
rx_layout1014.csv rx_layout1075.csv 0.303545052711
rx_layout1014.csv rx_layout1077.csv 0
rx_layout1014.csv rx_layout1080.csv 0.325462067838
rx_layout1014.csv rx_layout1083.csv 0
rx_layout1014.csv rx_layout1089.csv 0.299689053437
rx_layout1014.csv rx_layout1094.csv 0
rx_layout1014.csv rx_layout1107.csv 0.411194211341
rx_layout1014.csv rx_layout1109.csv 0
rx_layout1014.csv rx_layout1121.csv 0.258864191063
rx_layout1016.csv rx_layout100.csv 0
rx_layout1016.csv rx_layout1002.csv 0
rx_layout1016.csv rx_layout1003.csv 0
rx_layout1016.csv rx_layout1004.csv 0
rx_layout1016.csv rx_layout1005.csv 0
rx_layout1016.csv rx_layout1013.csv 0
rx_layout1016.csv rx_layout1014.csv 0
rx_layout1016.csv rx_layout1016.csv 1.0
rx_layout1016.csv rx_layout104.csv 0
rx_layout1016.csv rx_layout1044.csv 0
rx_layout1016.csv rx_layout1046.csv 0
rx_layout1016.csv rx_layout1047.csv 0
rx_layout1016.csv rx_layout1059.csv 0
rx_layout1016.csv rx_layout1063.csv 0
rx_layout1016.csv rx_layout1066.csv 0
rx_layout1016.csv rx_layout1074.csv 0
rx_layout1016.csv rx_layout1075.csv 0
rx_layout1016.csv rx_layout1077.csv 0
rx_layout1016.csv rx_layout1080.csv 0
rx_layout1016.csv rx_layout1083.csv 0
rx_layout1016.csv rx_layout1089.csv 0
rx_layout1016.csv rx_layout1094.csv 0
rx_layout1016.csv rx_layout1107.csv 0
rx_layout1016.csv rx_layout1109.csv 0
rx_layout1016.csv rx_layout1121.csv 0
rx_layout104.csv rx_layout100.csv 0.455887661012
rx_layout104.csv rx_layout1002.csv 0.381673510965
rx_layout104.csv rx_layout1003.csv 0
rx_layout104.csv rx_layout1004.csv 0
rx_layout104.csv rx_layout1005.csv 0
rx_layout104.csv rx_layout1013.csv 0.344346828224
rx_layout104.csv rx_layout1014.csv 0
rx_layout104.csv rx_layout1016.csv 0
rx_layout104.csv rx_layout104.csv 1.0
rx_layout104.csv rx_layout1044.csv 0.464342146674
rx_layout104.csv rx_layout1046.csv 0.418367041512
rx_layout104.csv rx_layout1047.csv 0.370295330493
rx_layout104.csv rx_layout1059.csv 0.381848766227
rx_layout104.csv rx_layout1063.csv 0.430784326819
