LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3244,1,1,PS_UNIQUE_ID,VARCHAR2,,200,263386,1,200,,,,,VARCHAR2,,
3244,1,2,CUSTOMER_NBR,VARCHAR2,,200,263387,201,400,,,,,VARCHAR2,,
3244,1,3,GROUP_NBR,VARCHAR2,,200,263388,401,600,,,,,VARCHAR2,,
3244,1,4,IDN_INDICATOR,VARCHAR2,,200,263389,601,800,,,,,VARCHAR2,,
3244,1,5,SUBGROUP_NBR,VARCHAR2,,200,263390,801,1000,,,,,VARCHAR2,,
3244,1,6,ACCOUNT_NBR,VARCHAR2,,200,263391,1001,1200,,,,,VARCHAR2,,
3244,1,7,FILE_ID,VARCHAR2,,200,263392,1201,1400,,,,,VARCHAR2,,
3244,1,8,CLM_LN_TYPE_CD,VARCHAR2,,200,263393,1401,1600,,,,,VARCHAR2,,
3244,1,9,NON_PRFRRD_SRV_CD_1,VARCHAR2,,200,263394,1601,1800,,,,,VARCHAR2,,
3244,1,10,PLSP_PROD_CD,VARCHAR2,,200,263395,1801,2000,,,,,VARCHAR2,,
3244,1,11,PRODUCT_LN_CD,VARCHAR2,,200,263396,2001,2200,,,,,VARCHAR2,,
3244,1,12,CLASSIFICATION_CD,VARCHAR2,,200,263397,2201,2400,,,,,VARCHAR2,,
3244,1,13,BNFT_PKG_ID,VARCHAR2,,200,263398,2401,2600,,,,,VARCHAR2,,
3244,1,14,PLAN_ID,VARCHAR2,,200,263399,2601,2800,,,,,VARCHAR2,,
3244,1,15,NON_PRFRRD_SRV_CD_2,VARCHAR2,,200,263400,2801,3000,,,,,VARCHAR2,,
3244,1,16,FUND_CTG_CD,VARCHAR2,,200,263401,3001,3200,,,,,VARCHAR2,,
3244,1,17,SRC_SUBSCRIBER_ID,VARCHAR2,,200,263402,3201,3400,,,,,VARCHAR2,,
3244,1,18,EMP_LAST_NM,VARCHAR2,,200,263403,3401,3600,,,,,VARCHAR2,,
3244,1,19,EMP_FIRST_NM,VARCHAR2,,200,263404,3601,3800,,,,,VARCHAR2,,
3244,1,20,EMP_GENDER,VARCHAR2,,200,263405,3801,4000,,,,,VARCHAR2,,
3244,1,21,SUBSCRIBER_BRTH_DT,DATE,YYYY-MM-DD,200,263406,4001,4200,,,,,DATE,,
3244,1,22,SUBS_ZIP_CD,VARCHAR2,,200,263407,4201,4400,,,,,VARCHAR2,,
3244,1,23,SUBS_ST_POSTAL_CD,VARCHAR2,,200,263408,4401,4600,,,,,VARCHAR2,,
3244,1,24,COVERAGE_TYPE_CD,VARCHAR2,,200,263409,4601,4800,,,,,VARCHAR2,,
3244,1,25,SSN_NBR,VARCHAR2,,200,263410,4801,5000,,,,,VARCHAR2,,
3244,1,26,MEMBER_ID,VARCHAR2,,200,263411,5001,5200,,,,,VARCHAR2,,
3244,1,27,SRC_CLM_MBR_NUM,VARCHAR2,,200,263412,5201,5400,,,,,VARCHAR2,,
3244,1,28,MEM_LAST_NM,VARCHAR2,,200,263413,5401,5600,,,,,VARCHAR2,,
3244,1,29,MEM_FIRST_NM,VARCHAR2,,200,263414,5601,5800,,,,,VARCHAR2,,
3244,1,30,MEM_GENDER,VARCHAR2,,200,263415,5801,6000,,,,,VARCHAR2,,
3244,1,31,MBR_RTP_TYPE_CD,VARCHAR2,,200,263416,6001,6200,,,,,VARCHAR2,,
3244,1,32,BIRTH_DT,DATE,YYYY-MM-DD,200,263417,6201,6400,,,,,DATE,,
3244,1,33,SRC_CLM_ID,VARCHAR2,,200,263418,6401,6600,,,,,VARCHAR2,,
3244,1,34,SRC_CLAIM_LINE_NUM,VARCHAR2,,200,263419,6601,6800,,,,,VARCHAR2,,
3244,1,35,PREV_CLM_SEG_ID,VARCHAR2,,200,263420,6801,7000,,,,,VARCHAR2,,
3244,1,36,DERIVED_TCN_NBR,VARCHAR2,,200,263421,7001,7200,,,,,VARCHAR2,,
3244,1,37,SRC_CLAIM_LINE_ID,VARCHAR2,,200,263422,7201,7400,,,,,VARCHAR2,,
3244,1,38,CLAIM_LINE_ID,VARCHAR2,,200,263423,7401,7600,,,,,VARCHAR2,,
3244,1,39,NTWK_SRV_AREA_ID,VARCHAR2,,200,263424,7601,7800,,,,,VARCHAR2,,
3244,1,40,PAID_PRVDR_NSA_ID,VARCHAR2,,200,263425,7801,8000,,,,,VARCHAR2,,
3244,1,41,SRV_CAPACITY_CD,VARCHAR2,,200,263426,8001,8200,,,,,VARCHAR2,,
3244,1,42,PCP_TAX_ID_FORMAT_CD,VARCHAR2,,200,263427,8201,8400,,,,,VARCHAR2,,
3244,1,43,PCP_TAX_ID_NBR,VARCHAR2,,200,263428,8401,8600,,,,,VARCHAR2,,
3244,1,44,PCP_PRINT_NM,VARCHAR2,,200,263429,8601,8800,,,,,VARCHAR2,,
3244,1,45,SRV_TAX_ID_FORMAT_CD,VARCHAR2,,200,263430,8801,9000,,,,,VARCHAR2,,
3244,1,46,SRV_TAX_ID_NBR,VARCHAR2,,200,263431,9001,9200,,,,,VARCHAR2,,
3244,1,47,SRV_PRVDR_ID,VARCHAR2,,200,263432,9201,9400,,,,,VARCHAR2,,
3244,1,48,SRV_PRINT_NM,VARCHAR2,,200,263433,9401,9600,,,,,VARCHAR2,,
3244,1,49,ADDRESS_LINE_1_TXT,VARCHAR2,,200,263434,9601,9800,,,,,VARCHAR2,,
3244,1,50,ADDRESS_LINE_2_TXT,VARCHAR2,,200,263435,9801,10000,,,,,VARCHAR2,,
3244,1,51,CITY_NM,VARCHAR2,,200,263436,10001,10200,,,,,VARCHAR2,,
3244,1,52,STATE_POSTAL_CD,VARCHAR2,,200,263437,10201,10400,,,,,VARCHAR2,,
3244,1,53,ZIP_CD,VARCHAR2,,200,263438,10401,10600,,,,,VARCHAR2,,
3244,1,54,PROVIDER_TYPE_CD,VARCHAR2,,200,263439,10601,10800,,,,,VARCHAR2,,
3244,1,55,SPECIALTY_CD,VARCHAR2,,200,263440,10801,11000,,,,,VARCHAR2,,
3244,1,56,PAYEE_CD,VARCHAR2,,200,263441,11001,11200,,,,,VARCHAR2,,
3244,1,57,PAID_PRVDR_PAR_CD,VARCHAR2,,200,263442,11201,11400,,,,,VARCHAR2,,
3244,1,58,RECEIVED_DT,DATE,YYYY-MM-DD,200,263443,11401,11600,,,,,DATE,,
3244,1,59,ADJN_DT,DATE,YYYY-MM-DD,200,263444,11601,11800,,,,,DATE,,
3244,1,60,SRV_START_DT,DATE,YYYY-MM-DD,200,263445,11801,12000,,,,,DATE,,
3244,1,61,SRV_STOP_DT,DATE,YYYY-MM-DD,200,263446,12001,12200,,,,,DATE,,
