LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
2497,1,1,ACCT_NUM,VARCHAR2,,20,183291,1,20,,,,,VARCHAR2,,
2497,1,2,ACCT_NM,VARCHAR2,,20,183292,21,40,,,,,VARCHAR2,,
2497,1,3,MED_COV_FLAG,VARCHAR2,,25,183293,41,65,,,,,VARCHAR2,,
2497,1,4,RX_COV_FLAG,VARCHAR2,,5,183294,66,70,,,,,VARCHAR2,,
2497,1,5,BEN_CD,VARCHAR2,,15,183295,71,85,,,,,VARCHAR2,,
2497,1,6,BEN_TXT,VARCHAR2,,30,183296,86,115,,,,,VARCHAR2,,
2497,1,7,BRNCH_NUM,VARCHAR2,,80,183297,116,195,,,,,VARCHAR2,,
2497,1,8,BRNCH_NM,VARCHAR2,,70,183298,196,265,,,,,VARCHAR2,,
2497,1,9,CC_CD,VARCHAR2,,15,183299,266,280,,,,,VARCHAR2,,
2497,1,10,CC_TXT,VARCHAR2,,30,183300,281,310,,,,,VARCHAR2,,
2497,1,11,LOB_CD,VARCHAR2,,30,183301,311,340,,,,,VARCHAR2,,
2497,1,12,LOB_TXT,VARCHAR2,,30,183302,341,370,,,,,VARCHAR2,,
2497,1,13,MBR_ADDR_LN1,VARCHAR2,,50,183303,371,420,,,,,VARCHAR2,,
2497,1,14,MBR_ADDR_LN2,VARCHAR2,,50,183304,421,470,,,,,VARCHAR2,,
2497,1,15,MBR_BTH_DT,DATE,DD-MON-YYYY,10,183305,471,480,,,,,DATE,,
2497,1,16,MBR_EFF_DT,DATE,DD-MON-YYYY,10,183306,481,490,,,,,DATE,,
2497,1,17,MBR_END_DT,DATE,DD-MON-YYYY,10,183307,491,500,,,,,DATE,,
2497,1,18,MBR_FIRST_NM,VARCHAR2,,30,183308,501,530,,,,,VARCHAR2,,
2497,1,19,MBR_ID,VARCHAR2,,20,183309,531,550,,,,,VARCHAR2,,
2497,1,20,MBR_LAST_NM,VARCHAR2,,40,183310,551,590,,,,,VARCHAR2,,
2497,1,21,MBR_MIDDLE_NM,VARCHAR2,,40,183311,591,630,,,,,VARCHAR2,,
2497,1,22,PCP_ID,VARCHAR2,,20,183312,631,650,,,,,VARCHAR2,,
2497,1,23,MBR_STA_CD,VARCHAR2,,10,183313,651,660,,,,,VARCHAR2,,
2497,1,24,MBR_ST_CD,VARCHAR2,,20,183314,661,680,,,,,VARCHAR2,,
2497,1,25,REL_CD,VARCHAR2,,40,183315,681,720,,,,,VARCHAR2,,
2497,1,26,REL_TXT,VARCHAR2,,30,183316,721,750,,,,,VARCHAR2,,
2497,1,28,SEX_CD,VARCHAR2,,30,183318,951,980,,,,,VARCHAR2,,
2497,1,29,SIC_CD,VARCHAR2,,16,183319,981,996,,,,,VARCHAR2,,
2497,1,30,ZIP_CD,VARCHAR2,,15,183320,997,1011,,,,,VARCHAR2,,
2497,1,31,SSN,VARCHAR2,,15,183321,1012,1026,,,,,VARCHAR2,,
