LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3229,1,1,SBSCRBR_ID,VARCHAR2,NA,200,262270,1,200,,,,,VARCHAR2,,7
3229,1,2,MBR_SQNC_NBR,VARCHAR2,NA,200,262271,201,400,,,,,VARCHAR2,,11
3229,1,3,MBR_BRTH_DT,DATE,YYYYMMDD,200,262272,401,600,,,,,DATE,,3
3229,1,4,MBR_GNDR_CD,VARCHAR2,NA,200,262273,601,800,,,,,VARCHAR2,,8
3229,1,5,MBR_REL_CD,VARCHAR2,NA,200,262274,801,1000,,,,,VARCHAR2,,17
3229,1,6,EMP_ZIP_CD,VARCHAR2,NA,200,262275,1001,1200,,,,,VARCHAR2,,
3229,1,7,MBR_EFCTV_DT,DATE,YYYYMMDD,200,262276,1201,1400,,,,,DATE,,4
3229,1,8,MBR_TERM_DT,DATE,YYYYMMDD,200,262277,1401,1600,,,,,DATE,,19
3229,1,9,PROD_ID,VARCHAR2,NA,200,262278,1601,1800,,,,,VARCHAR2,,
3229,1,10,ACCT_NBR,VARCHAR2,NA,200,262279,1801,2000,,,,,VARCHAR2,,
3229,1,11,SUBGRP_NBR,VARCHAR2,NA,200,262280,2001,2200,,,,,VARCHAR2,,
3229,1,12,DEPT_NBR,VARCHAR2,NA,200,262281,2201,2400,,,,,VARCHAR2,,
3229,1,13,HLTH_CLASS_COV_CD,VARCHAR2,NA,200,262282,2401,2600,,,,,VARCHAR2,,
3229,1,14,PKG_NBR,VARCHAR2,NA,200,262283,2601,2800,,,,,VARCHAR2,,
3229,1,15,EMP_CNTRCT_TYPE,VARCHAR2,NA,200,262284,2801,3000,,,,,VARCHAR2,,
3229,1,17,MBR_LAST_NM,VARCHAR2,NA,200,262286,3201,3400,,,,,VARCHAR2,,12
3229,1,18,MBR_SSN,VARCHAR2,NA,200,262287,3401,3600,,,,,VARCHAR2,,
3229,1,19,HCID,VARCHAR2,NA,200,262288,3601,3800,,,,,VARCHAR2,,
3229,1,16,MBR_FIRST_NM,VARCHAR2,NA,200,262285,3001,3200,,,,,VARCHAR2,,10
