LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
2503,1,1,ACCT_NUM,VARCHAR2,,150,183763,1,10,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,2,ACCT_NM,VARCHAR2,,10,183764,11,20,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,3,BEN_CD,VARCHAR2,,15,183765,21,35,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,4,BEN_TXT,VARCHAR2,,10,183766,36,45,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,5,BRNCH_NUM,VARCHAR2,,13,183767,46,58,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,6,BRNCH_NM,VARCHAR2,,10,183768,59,68,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,7,CC_CD,VARCHAR2,,6,183769,69,74,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,9,LOB_CD,VARCHAR2,,8,183771,85,92,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,10,LOB_TXT,VARCHAR2,,10,183772,93,102,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,11,MBR_ADDR_LN1,VARCHAR2,,27,183773,103,129,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,13,MBR_BTH_DT,DATE,YYYYMMDD,8,183775,154,163,Shiksha Maharjan,,,,DATE,,
2503,1,14,MBR_EFF_DT,DATE,YYYYMMDD,8,183776,164,173,Shiksha Maharjan,,,,DATE,,
2503,1,15,MBR_END_DT,DATE,YYYYMMDD,8,183777,174,183,Shiksha Maharjan,,,,DATE,,
2503,1,16,MBR_FIRST_NM,VARCHAR2,,17,183778,184,200,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,17,MBR_ID,VARCHAR2,,16,183779,201,216,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,18,MBR_LAST_NM,VARCHAR2,,27,183780,217,243,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,20,PCP_ID,VARCHAR2,,10,183782,250,259,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,21,PCP_ZIP_CD,VARCHAR2,,10,183783,260,269,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,22,PROD_CD,VARCHAR2,,8,183784,270,277,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,24,MBR_STA_CD,VARCHAR2,,6,183786,288,293,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,25,MBR_ST_CD,VARCHAR2,,7,183787,294,300,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,26,PRDT_FAM_CO,VARCHAR2,,10,183788,301,310,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,28,REL_TXT,VARCHAR2,,10,183790,317,326,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,29,RISK_AFFIL_CD,VARCHAR2,,10,183791,327,336,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,30,RISK_AFFIL_TXT,VARCHAR2,,10,183792,337,346,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,31,SEX_CD,VARCHAR2,,6,183793,347,352,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,33,SIC_CD,VARCHAR2,,10,183795,363,372,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,34,ZIP_CD,VARCHAR2,,14,183796,373,386,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,35,PROS_RISK_AMT,VARCHAR2,,10,183797,387,396,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,36,CONCUR_RISK_AMT,VARCHAR2,,10,183798,397,406,Shiksha Maharjan,,,,VARCHAR2,,
2503,2,1,ROW_COUNT,VARCHAR2,,5,183830,3,7,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,8,CC_TXT,VARCHAR2,,10,183770,75,84,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,12,MBR_ADDR_LN2,VARCHAR2,,24,183774,130,153,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,19,MBR_MIDDLE_NM,VARCHAR2,,6,183781,244,249,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,23,PROD_TXT,VARCHAR2,,10,183785,278,287,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,27,REL_CD,VARCHAR2,,6,183789,311,316,Shiksha Maharjan,,,,VARCHAR2,,
2503,1,32,SEX_TXT,VARCHAR2,,10,183794,353,362,Shiksha Maharjan,,,,VARCHAR2,,
