LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
659,1,1,ROW_ID,VARCHAR2
659,1,2,SOURCE,VARCHAR2
659,1,3,MEMID,VARCHAR2
659,1,4,ENRID,VARCHAR2
659,1,5,RELFLAG,VARCHAR2
659,1,6,MEMFIRSTNAME,VARCHAR2
659,1,7,MEMLASTNAME,VARCHAR2
659,1,8,GENDER,VARCHAR2
659,1,9,DOB,DATE
659,1,10,ADDR1,VARCHAR2
659,1,11,ADDR2,VARCHAR2
659,1,12,CITY,VARCHAR2
659,1,13,STATE,VARCHAR2
659,1,14,ZIP,VARCHAR2
659,1,15,EFFDATE,DATE
659,1,16,TERMDATE,DATE
659,1,17,LVLID1,VARCHAR2
659,1,18,LVLDESC1,VARCHAR2
659,1,19,LVLID2,VARCHAR2
659,1,20,LVLDESC2,VARCHAR2
659,1,21,LVLID3,VARCHAR2
659,1,22,LVLDESC3,VARCHAR2
659,1,23,LVLID4,VARCHAR2
659,1,24,LVLDESC4,VARCHAR2
659,1,25,SSN,VARCHAR2
659,1,26,UDFC1,VARCHAR2
659,1,27,UDFC2,VARCHAR2
659,1,28,UDFD1,DATE
659,1,29,UDFD2,DATE
659,1,30,UDFD3,DATE
659,1,31,UDFD4,DATE
659,1,32,UDFN1,NUMBER
659,1,33,UDFN2,NUMBER
