LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
3744,1,1,CLNT_ST_CD,VARCHAR2
3744,1,2,PRIMY_GRP_ID_CD,VARCHAR2
3744,1,3,PRIMY_SUBGRP_ID_CD,VARCHAR2
3744,1,4,SUBGRP_NAME,VARCHAR2
3744,1,5,CLS_ID_CD,VARCHAR2
3744,1,6,CLS_DESCN,VARCHAR2
3744,1,7,CLS_PLN_ID_CD,VARCHAR2
3744,1,8,CLS_PLN_DESCN,VARCHAR2
3744,1,9,PROD_ID_CD,VARCHAR2
3744,1,10,PROD_DESCN,VARCHAR2
3744,1,11,CURR_CTG_PERS_KEY_CD,VARCHAR2
3744,1,12,PRIMY_SUB_ID_CD,VARCHAR2
3744,1,13,MBR_SFX_CD,VARCHAR2
3744,1,14,PRIMY_MBR_ID_CD,VARCHAR2
3744,1,15,MBR_FST_NAME,VARCHAR2
3744,1,16,MBR_MID_NAME,VARCHAR2
3744,1,17,MBR_LST_NAME,VARCHAR2
3744,1,18,MBR_DOB_DT_KEY,DATE
3744,1,19,MBR_GNDR_CD,VARCHAR2
3744,1,20,MBR_RELSHP_CD,VARCHAR2
3744,1,21,FMLY_STRCT_CD,VARCHAR2
3744,1,22,SUB_ADDR_LN_1_TXT,VARCHAR2
3744,1,23,SUB_ADDR_LN_2_TXT,VARCHAR2
3744,1,24,SUB_ADDR_LN_3_TXT,VARCHAR2
3744,1,25,SUB_CITY_NAME,VARCHAR2
3744,1,26,SUB_ST_CD,VARCHAR2
3744,1,27,SUB_CNTCT_POSTL_CD,VARCHAR2
3744,1,28,MBR_POSTL_CD,VARCHAR2
3744,1,29,MBR_PH_NUM_TXT,VARCHAR2
3744,1,30,TRANSL_PROD_TYP_CD,VARCHAR2
3744,1,31,PROD_CAT_CD,VARCHAR2
3744,1,32,CDM_REC_EFF_DT_KEY,DATE
3744,1,33,CDM_REC_CNCL_DT_KEY,DATE
3744,1,34,WHOLE_CONTR_CNT,NUMBER
3744,1,35,WHOLE_MBR_CNT,NUMBER
