LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
4261,1,14,M2016_04,VARCHAR2
4261,1,15,M2016_05,VARCHAR2
4261,1,16,M2016_06,VARCHAR2
4261,1,17,M2016_07,VARCHAR2
4261,1,18,M2016_08,VARCHAR2
4261,1,19,M2016_09,VARCHAR2
4261,1,20,M2016_10,VARCHAR2
4261,1,21,M2016_11,VARCHAR2
4261,1,22,M2016_12,VARCHAR2
4261,1,23,M2017_01,VARCHAR2
4261,1,24,M2017_02,VARCHAR2
4261,1,25,M2017_03,VARCHAR2
4261,1,26,M2017_04,VARCHAR2
4261,1,27,M2017_05,VARCHAR2
4261,1,28,M2017_06,VARCHAR2
4261,1,29,M2017_07,VARCHAR2
4261,1,30,M2017_08,VARCHAR2
4261,1,31,M2017_09,VARCHAR2
4261,1,32,M2017_10,VARCHAR2
4261,1,33,M2017_11,VARCHAR2
4261,1,34,M2017_12,VARCHAR2
4261,1,35,M2018_01,VARCHAR2
4261,1,36,M2018_02,VARCHAR2
4261,1,37,M2018_03,VARCHAR2
4261,1,38,M2018_04,VARCHAR2
4261,1,39,M2018_05,VARCHAR2
4261,1,40,M2018_06,VARCHAR2
4261,1,41,M2018_07,VARCHAR2
4261,1,42,M2018_08,VARCHAR2
4261,1,43,M2018_09,VARCHAR2
4261,1,7,MEMELGTH,DATE
4261,1,8,M2015_10,VARCHAR2
4261,1,9,M2015_11,VARCHAR2
4261,1,10,M2015_12,VARCHAR2
4261,1,11,M2016_01,VARCHAR2
4261,1,12,M2016_02,VARCHAR2
4261,1,13,M2016_03,VARCHAR2
4261,1,1,INDV_SYS_ID,VARCHAR2
4261,1,2,ALT_ID,VARCHAR2
4261,1,3,CUST_SEG_NM,VARCHAR2
4261,1,4,DERIV_FINC_CD,VARCHAR2
4261,1,5,MPIN,VARCHAR2
4261,1,6,MEMELGFR,DATE
