LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
4163,1,88,PLNTYP3,VARCHAR2
4163,1,89,PLNTYP4,VARCHAR2
4163,1,90,PLNTYP5,VARCHAR2
4163,1,91,PLNTYP6,VARCHAR2
4163,1,92,PLNTYP7,VARCHAR2
4163,1,93,PLNTYP8,VARCHAR2
4163,1,94,PLNTYP9,VARCHAR2
4163,1,95,PLNTYP10,VARCHAR2
4163,1,96,PLNTYP11,VARCHAR2
4163,1,97,PLNTYP12,VARCHAR2
4163,1,98,EECLASS,VARCHAR2
4163,1,99,EESTATU,VARCHAR2
4163,1,100,EGEOLOC,VARCHAR2
4163,1,101,INDSTRY,VARCHAR2
4163,1,102,MHSACOVG,VARCHAR2
4163,1,103,MSA,VARCHAR2
4163,1,104,REGION,VARCHAR2
4163,1,105,WGTKEY,VARCHAR2
4163,1,106,PLANTYP,VARCHAR2
4163,1,107,AGE_YEAR,VARCHAR2
4163,1,108,ORIGIN_TYPE,VARCHAR2
4163,1,109,RPAY_I1,VARCHAR2
4163,1,110,RPAY_I2,VARCHAR2
4163,1,111,RPAY_I3,VARCHAR2
4163,1,112,RPAY_I4,VARCHAR2
4163,1,113,RPAY_I,VARCHAR2
4163,1,114,RPAY_O1,VARCHAR2
4163,1,115,RPAY_O2,VARCHAR2
4163,1,116,RPAY_O3,VARCHAR2
4163,1,117,RPAY_O4,VARCHAR2
4163,1,118,RPAY_O,VARCHAR2
4163,1,119,RPAY_IO,VARCHAR2
4163,1,120,RPAY_D1,VARCHAR2
4163,1,121,RPAY_D2,VARCHAR2
4163,1,122,RPAY_D3,VARCHAR2
4163,1,123,RPAY_D4,VARCHAR2
4163,1,124,RPAY_D,VARCHAR2
4163,1,125,RPAY_E1,VARCHAR2
4163,1,126,RPAY_E2,VARCHAR2
4163,1,127,RPAY_E3,VARCHAR2
4163,1,128,RPAY_E4,VARCHAR2
4163,1,129,RPAY_E,VARCHAR2
4163,1,130,RPAY,VARCHAR2
4163,1,1,ENROLID,VARCHAR2
4163,1,2,PAY_I1,VARCHAR2
4163,1,3,PAY_I2,VARCHAR2
4163,1,4,PAY_I3,VARCHAR2
