LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3137,1,1,RX_NBR,VARCHAR2,,32,253793,1,32,,,,,VARCHAR2,,
3137,1,2,CLM_NBR,VARCHAR2,,24,253794,33,56,,,,,VARCHAR2,,
3137,1,3,CLM_ADJSTMNT_KEY,VARCHAR2,,32,253795,57,88,,,,,VARCHAR2,,
3137,1,4,MBR_KEY,VARCHAR2,,70,253796,89,158,,,,,VARCHAR2,,
3137,1,5,RX_FILLED_DT,DATE,YYYY/MM/DD,10,253797,159,168,,,,,DATE,,
3137,1,6,CLM_SOR_CD,VARCHAR2,,10,253798,169,178,,,,,VARCHAR2,,
3137,1,7,SRVC_RNDRG_TYPE_CD,VARCHAR2,,10,253799,179,188,,,,,VARCHAR2,,
3137,1,8,CLM_ADJSTMNT_NBR,VARCHAR2,,7,253800,189,195,,,,,VARCHAR2,,
3137,1,9,CLM_LINE_NBR,VARCHAR2,,5,253801,196,200,,,,,VARCHAR2,,
3137,1,10,CLM_LINE_SRVC_STRT_DT,DATE,YYYY/MM/DD,10,253802,201,210,,,,,DATE,,
3137,1,11,CLM_LINE_SRVC_END_DT,DATE,YYYY/MM/DD,10,253803,211,220,,,,,DATE,,
3137,1,12,CLM_LINE_STTS_CD,VARCHAR2,,5,253804,221,225,,,,,VARCHAR2,,
3137,1,13,PAID_AMT,NUMBER,,20,253805,226,245,,,,,NUMBER,,
3137,1,14,CPAY_AMT,NUMBER,,20,253806,246,265,,,,,NUMBER,,
3137,1,15,DDCTBL_AMT,NUMBER,,20,253807,266,285,,,,,NUMBER,,
3137,1,16,COINSRN_AMT,NUMBER,,20,253808,286,305,,,,,NUMBER,,
3137,1,17,DAYS_SPLY_NBR,NUMBER,,7,253809,306,312,,,,,NUMBER,,
3137,1,18,BRND_NM,VARCHAR2,,60,253810,313,372,,,,,VARCHAR2,,
3137,1,19,NDC,VARCHAR2,,11,253811,373,383,,,,,VARCHAR2,,
3137,1,20,REFIL_CD,VARCHAR2,,5,253812,384,388,,,,,VARCHAR2,,
3137,1,21,REFILS_AUTHRZD_NBR,NUMBER,,7,253813,389,395,,,,,NUMBER,,
3137,1,22,PROV_ID,VARCHAR2,,16,253814,396,411,,,,,VARCHAR2,,
3137,1,23,SPCLTY_CD,VARCHAR2,,3,253815,412,414,,,,,VARCHAR2,,
3137,1,24,MBRSHP_SOR_CD,VARCHAR2,,10,253816,415,424,,,,,VARCHAR2,,
3137,1,25,SRC_MBR_SSN,VARCHAR2,,9,253817,425,433,,,,,VARCHAR2,,
3137,1,26,SRC_SBSCRBR_ID,VARCHAR2,,15,253818,434,448,,,,,VARCHAR2,,
3137,1,27,SRC_HC_ID,VARCHAR2,,20,253819,449,468,,,,,VARCHAR2,,
3137,1,28,SRC_MBR_FRST_NM,VARCHAR2,,50,253820,469,518,,,,,VARCHAR2,,
3137,1,29,SRC_MBR_LAST_NM,VARCHAR2,,50,253821,519,568,,,,,VARCHAR2,,
