LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3426,1,1,SERV_NBR,VARCHAR2,,16,274637,1,16,Lok Raj Bist,,,,VARCHAR2,,
3426,1,2,CLAIM_NBR,VARCHAR2,,12,274638,17,28,Lok Raj Bist,,,,VARCHAR2,,25
3426,1,3,LINE_NBR,VARCHAR2,,4,274639,29,32,Lok Raj Bist,,,,VARCHAR2,,
3426,1,4,ADJ_TYPE,VARCHAR2,,1,274640,33,33,Lok Raj Bist,,,,VARCHAR2,,
3426,1,5,MEMBER_NBR,VARCHAR2,,12,274641,34,45,Lok Raj Bist,,,,VARCHAR2,,
3426,1,6,AMTALLOW_P,NUMBER,,9,274642,46,54,Lok Raj Bist,,,,NUMBER,,20
3426,1,7,AMTCHARGE,NUMBER,,9,274643,55,63,Lok Raj Bist,,,,NUMBER,,21
3426,1,8,AMTCOINS,NUMBER,,9,274644,64,72,Lok Raj Bist,,,,NUMBER,,27
3426,1,9,AMTCOPAY,NUMBER,,9,274645,73,81,Lok Raj Bist,,,,NUMBER,,28
3426,1,10,AMTDEDUCT,NUMBER,,9,274646,82,90,Lok Raj Bist,,,,NUMBER,,29
3426,1,11,AMTDENY_B,NUMBER,,9,274647,91,99,Lok Raj Bist,,,,NUMBER,,
3426,1,12,AMTDENY_P,NUMBER,,9,274648,100,108,Lok Raj Bist,,,,NUMBER,,
3426,1,13,AMTDISCOUNT,NUMBER,,9,274649,109,117,Lok Raj Bist,,,,NUMBER,,
3426,1,14,AMTPAY,NUMBER,,9,274650,118,126,Lok Raj Bist,,,,NUMBER,,38
3426,1,15,AMTPAY_M,NUMBER,,9,274651,127,135,Lok Raj Bist,,,,NUMBER,,
3426,1,16,AMTSAVING_COB,NUMBER,,9,274652,136,144,Lok Raj Bist,,,,NUMBER,,
3426,1,17,CLAIM_TYPE,VARCHAR2,,2,274653,145,146,Lok Raj Bist,,,,VARCHAR2,,
3426,1,18,DISCHARGE,VARCHAR2,,2,274654,147,148,Lok Raj Bist,,,,VARCHAR2,,31
3426,1,19,AUTH_IND,VARCHAR2,,1,274655,149,149,Lok Raj Bist,,,,VARCHAR2,,
3426,1,20,DRG_NBR,VARCHAR2,,4,274656,150,153,Lok Raj Bist,,,,VARCHAR2,,32
3426,1,21,DIAG_NBR,VARCHAR2,,8,274657,154,161,Lok Raj Bist,,,,VARCHAR2,,30
