LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
4352,1,18,DIAG_CD2,VARCHAR2,,150,328475,2551,2700,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,19,ICD_REVSN_NUM,VARCHAR2,,150,328476,2701,2850,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,20,SVC_DT,DATE,DDMONYYYY,150,328477,2851,3000,Bhabira Sapkota,,,,DATE,,
4352,1,21,NT_IND,VARCHAR2,,150,328478,3001,3150,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,22,CLAIM_ID,VARCHAR2,,150,328479,3151,3300,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,23,PD_DT,DATE,DDMONYYYY,150,328480,3301,3450,Bhabira Sapkota,,,,DATE,,
4352,1,24,RMK_CD,VARCHAR2,,150,328481,3451,3600,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,25,PROC_TY,VARCHAR2,,150,328482,3601,3750,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,26,SUBSCRBR_ZIP_CD,VARCHAR2,,150,328483,3751,3900,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,27,SUBSCRBR_STAT_CD,VARCHAR2,,150,328484,3901,4050,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,28,LOC_CD,VARCHAR2,,150,328485,4051,4200,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,29,PROC_CD,VARCHAR2,,150,328486,4201,4350,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,30,BEN_PLAN_CD,VARCHAR2,,150,328487,4351,4500,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,31,BRANCH,VARCHAR2,,150,328488,4501,4650,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,32,ACCT_TY,VARCHAR2,,150,328489,4651,4800,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,33,ACCT_SUBTY,VARCHAR2,,150,328490,4801,4950,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,34,ACCT_SUBTY2,VARCHAR2,,150,328491,4951,5100,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,35,PROVSPEC,VARCHAR2,,150,328492,5101,5250,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,36,PART_IND,VARCHAR2,,150,328493,5251,5400,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,37,NUM_SERV,NUMBER,,150,328494,5401,5550,Bhabira Sapkota,,,,NUMBER,,
4352,1,38,END_DT,DATE,DDMONYYYY,150,328495,5551,5700,Bhabira Sapkota,,,,DATE,,
4352,1,39,MIDSU_PROC_MDFR_CD,VARCHAR2,,150,328496,5701,5850,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,40,CONFMT_IND,VARCHAR2,,150,328497,5851,6000,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,41,PAT_REL,VARCHAR2,,150,328498,6001,6150,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,42,MIDSU_ACCT_NUM,VARCHAR2,,150,328499,6151,6300,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,43,BRTH_DT,DATE,DDMONYYYY,150,328500,6301,6450,Bhabira Sapkota,,,,DATE,,
4352,1,44,HMO_CD,VARCHAR2,,150,328501,6451,6600,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,45,NT_ID,VARCHAR2,,150,328502,6601,6750,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,46,MEM_STATE,VARCHAR2,,150,328503,6751,6900,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,47,MEDICARE,VARCHAR2,,150,328504,6901,7050,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,48,SRC_SYS,VARCHAR2,,150,328505,7051,7200,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,49,MDC_CAT,VARCHAR2,,150,328506,7201,7350,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,50,SAV_RSN_CD,VARCHAR2,,150,328507,7351,7500,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,51,ENCNTR_IND,VARCHAR2,,150,328508,7501,7650,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,52,RNC_IND,VARCHAR2,,150,328509,7651,7800,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,53,ADMIT_DT,DATE,DDMONYYYY,150,328510,7801,7950,Bhabira Sapkota,,,,DATE,,
4352,1,54,HOSP_DAYS_CNT,NUMBER,,150,328511,7951,8100,Bhabira Sapkota,,,,NUMBER,,
4352,1,55,DRG_CD,VARCHAR2,,150,328512,8101,8250,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,56,MS_DRG_CD,VARCHAR2,,150,328513,8251,8400,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,57,DISCHRG_STAT_CD,VARCHAR2,,150,328514,8401,8550,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,1,EMP_ID,VARCHAR2,,150,328458,1,150,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,2,AGE_AMT,VARCHAR2,,150,328459,151,300,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,3,PAT_SEX,VARCHAR2,,150,328460,301,450,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,4,PAT_FRST_NM,VARCHAR2,,150,328461,451,600,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,5,PAT_LAST_NM,VARCHAR2,,150,328462,601,750,Bhabira Sapkota,,,,VARCHAR2,,
4352,1,6,MBR_NUM,VARCHAR2,,150,328463,751,900,Bhabira Sapkota,,,,VARCHAR2,,
