LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3568,1,76,OTHR_ICD_VER_CD_14,VARCHAR2,,2,282594,287,288,,,,,VARCHAR2,,
3568,1,77,OTHR_DIAG_CD_15,VARCHAR2,,7,282595,289,295,,,,,VARCHAR2,,
3568,1,78,OTHR_DIAG_POA_CD_15,VARCHAR2,,1,282596,296,296,,,,,VARCHAR2,,
3568,1,79,OTHR_ICD_VER_CD_15,VARCHAR2,,2,282597,297,298,,,,,VARCHAR2,,
3568,1,80,OTHR_DIAG_CD_16,VARCHAR2,,7,282598,299,305,,,,,VARCHAR2,,
3568,1,81,OTHR_DIAG_POA_CD_16,VARCHAR2,,1,282599,306,306,,,,,VARCHAR2,,
3568,1,82,OTHR_ICD_VER_CD_16,VARCHAR2,,2,282600,307,308,,,,,VARCHAR2,,
3568,1,83,OTHR_DIAG_CD_17,VARCHAR2,,7,282601,309,315,,,,,VARCHAR2,,
3568,1,84,OTHR_DIAG_POA_CD_17,VARCHAR2,,1,282602,316,316,,,,,VARCHAR2,,
3568,1,85,OTHR_ICD_VER_CD_17,VARCHAR2,,2,282603,317,318,,,,,VARCHAR2,,
3568,1,86,OTHR_DIAG_CD_18,VARCHAR2,,7,282604,319,325,,,,,VARCHAR2,,
3568,1,87,OTHR_DIAG_POA_CD_18,VARCHAR2,,1,282605,326,326,,,,,VARCHAR2,,
3568,1,88,OTHR_ICD_VER_CD_18,VARCHAR2,,2,282606,327,328,,,,,VARCHAR2,,
3568,1,89,OTHR_DIAG_CD_19,VARCHAR2,,7,282607,329,335,,,,,VARCHAR2,,
3568,1,90,OTHR_DIAG_POA_CD_19,VARCHAR2,,1,282608,336,336,,,,,VARCHAR2,,
3568,1,91,OTHR_ICD_VER_CD_19,VARCHAR2,,2,282609,337,338,,,,,VARCHAR2,,
3568,1,92,OTHR_DIAG_CD_20,VARCHAR2,,7,282610,339,345,,,,,VARCHAR2,,
3568,1,93,OTHR_DIAG_POA_CD_20,VARCHAR2,,1,282611,346,346,,,,,VARCHAR2,,
3568,1,94,OTHR_ICD_VER_CD_20,VARCHAR2,,2,282612,347,348,,,,,VARCHAR2,,
3568,1,95,OTHR_DIAG_CD_21,VARCHAR2,,7,282613,349,355,,,,,VARCHAR2,,
3568,1,96,OTHR_DIAG_POA_CD_21,VARCHAR2,,1,282614,356,356,,,,,VARCHAR2,,
3568,1,97,OTHR_ICD_VER_CD_21,VARCHAR2,,2,282615,357,358,,,,,VARCHAR2,,
3568,1,98,OTHR_DIAG_CD_22,VARCHAR2,,7,282616,359,365,,,,,VARCHAR2,,
3568,1,99,OTHR_DIAG_POA_CD_22,VARCHAR2,,1,282617,366,366,,,,,VARCHAR2,,
3568,1,100,OTHR_ICD_VER_CD_22,VARCHAR2,,2,282618,367,368,,,,,VARCHAR2,,
3568,1,101,OTHR_DIAG_CD_23,VARCHAR2,,7,282619,369,375,,,,,VARCHAR2,,
3568,1,102,OTHR_DIAG_POA_CD_23,VARCHAR2,,1,282620,376,376,,,,,VARCHAR2,,
3568,1,103,OTHR_ICD_VER_CD_23,VARCHAR2,,2,282621,377,378,,,,,VARCHAR2,,
3568,1,104,OTHR_DIAG_CD_24,VARCHAR2,,7,282622,379,385,,,,,VARCHAR2,,
3568,1,105,OTHR_DIAG_POA_CD_24,VARCHAR2,,1,282623,386,386,,,,,VARCHAR2,,
3568,1,106,OTHR_ICD_VER_CD_24,VARCHAR2,,2,282624,387,388,,,,,VARCHAR2,,
3568,1,107,ECOI_DIAG_CD_1,VARCHAR2,,7,282625,389,395,,,,,VARCHAR2,,
3568,1,108,ECOI_DIAG_POA_CD_1,VARCHAR2,,1,282626,396,396,,,,,VARCHAR2,,
3568,1,109,ECOI_ICD_VER_CD_1,VARCHAR2,,2,282627,397,398,,,,,VARCHAR2,,
3568,1,110,ECOI_DIAG_CD_2,VARCHAR2,,7,282628,399,405,,,,,VARCHAR2,,
3568,1,111,ECOI_DIAG_POA_CD_2,VARCHAR2,,1,282629,406,406,,,,,VARCHAR2,,
3568,1,112,ECOI_ICD_VER_CD_2,VARCHAR2,,2,282630,407,408,,,,,VARCHAR2,,
3568,1,113,ECOI_DIAG_CD_3,VARCHAR2,,7,282631,409,415,,,,,VARCHAR2,,
3568,1,114,ECOI_DIAG_POA_CD_3,VARCHAR2,,1,282632,416,416,,,,,VARCHAR2,,
3568,1,115,ECOI_ICD_VER_CD_3,VARCHAR2,,2,282633,417,418,,,,,VARCHAR2,,
3568,1,116,ECOI_DIAG_CD_4,VARCHAR2,,7,282634,419,425,,,,,VARCHAR2,,
3568,1,117,ECOI_DIAG_POA_CD_4,VARCHAR2,,1,282635,426,426,,,,,VARCHAR2,,
3568,1,118,ECOI_ICD_VER_CD_4,VARCHAR2,,2,282636,427,428,,,,,VARCHAR2,,
3568,1,119,ECOI_DIAG_CD_5,VARCHAR2,,7,282637,429,435,,,,,VARCHAR2,,
3568,1,120,ECOI_DIAG_POA_CD_5,VARCHAR2,,1,282638,436,436,,,,,VARCHAR2,,
3568,1,121,ECOI_ICD_VER_CD_5,VARCHAR2,,2,282639,437,438,,,,,VARCHAR2,,
3568,1,122,ECOI_DIAG_CD_6,VARCHAR2,,7,282640,439,445,,,,,VARCHAR2,,
3568,1,123,ECOI_DIAG_POA_CD_6,VARCHAR2,,1,282641,446,446,,,,,VARCHAR2,,
3568,1,124,ECOI_ICD_VER_CD_6,VARCHAR2,,2,282642,447,448,,,,,VARCHAR2,,
3568,1,125,ECOI_DIAG_CD_7,VARCHAR2,,7,282643,449,455,,,,,VARCHAR2,,
3568,1,126,ECOI_DIAG_POA_CD_7,VARCHAR2,,1,282644,456,456,,,,,VARCHAR2,,
3568,1,127,ECOI_ICD_VER_CD_7,VARCHAR2,,2,282645,457,458,,,,,VARCHAR2,,
3568,1,128,ECOI_DIAG_CD_8,VARCHAR2,,7,282646,459,465,,,,,VARCHAR2,,
3568,1,129,ECOI_DIAG_POA_CD_8,VARCHAR2,,1,282647,466,466,,,,,VARCHAR2,,
3568,1,130,ECOI_ICD_VER_CD_8,VARCHAR2,,2,282648,467,468,,,,,VARCHAR2,,
3568,1,131,ECOI_DIAG_CD_9,VARCHAR2,,7,282649,469,475,,,,,VARCHAR2,,
3568,1,132,ECOI_DIAG_POA_CD_9,VARCHAR2,,1,282650,476,476,,,,,VARCHAR2,,
3568,1,133,ECOI_ICD_VER_CD_9,VARCHAR2,,2,282651,477,478,,,,,VARCHAR2,,
3568,1,134,ECOI_DIAG_CD_10,VARCHAR2,,7,282652,479,485,,,,,VARCHAR2,,
3568,1,1,SEQ_NR,VARCHAR2,,2,282519,1,2,,,,,VARCHAR2,,
3568,1,2,GRP_NR,VARCHAR2,,7,282520,3,9,,,,,VARCHAR2,,
3568,1,3,DIV,VARCHAR2,,3,282521,10,12,,,,,VARCHAR2,,
3568,1,4,TYP_BUS,VARCHAR2,,1,282522,13,13,,,,,VARCHAR2,,
3568,1,5,CNTRCT_PFX,VARCHAR2,,3,282523,14,16,,,,,VARCHAR2,,
3568,1,6,CNTRCT_NR,VARCHAR2,,9,282524,17,25,,,,,VARCHAR2,,
3568,1,8,CLM_NR,VARCHAR2,,7,282526,31,37,,,,,VARCHAR2,,25
3568,1,9,CLM_PLAN_CD,VARCHAR2,,3,282527,38,40,,,,,VARCHAR2,,
3568,1,10,LN_NR,VARCHAR2,,3,282528,41,43,,,,,VARCHAR2,,
3568,1,135,ECOI_DIAG_POA_CD_10,VARCHAR2,,1,282653,486,486,,,,,VARCHAR2,,
3568,1,136,ECOI_ICD_VER_CD_10,VARCHAR2,,2,282654,487,488,,,,,VARCHAR2,,
3568,1,137,ECOI_DIAG_CD_11,VARCHAR2,,7,282655,489,495,,,,,VARCHAR2,,
3568,1,138,ECOI_DIAG_POA_CD_11,VARCHAR2,,1,282656,496,496,,,,,VARCHAR2,,
3568,1,139,ECOI_ICD_VER_CD_11,VARCHAR2,,2,282657,497,498,,,,,VARCHAR2,,
3568,1,140,ECOI_DIAG_CD_12,VARCHAR2,,7,282658,499,505,,,,,VARCHAR2,,
3568,1,141,ECOI_DIAG_POA_CD_12,VARCHAR2,,1,282659,506,506,,,,,VARCHAR2,,
