LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1071,1,1,PATSEX,VARCHAR2,,1,76383,1,1,,,,,VARCHAR2,,
1071,1,2,PATREL,VARCHAR2,,2,76384,2,3,,,,,VARCHAR2,,
1071,1,3,SSNNBR,VARCHAR2,,13,76385,4,16,,,,,VARCHAR2,,
1071,1,4,GRPMAIN,VARCHAR2,,6,76386,17,22,,,,,VARCHAR2,,
1071,1,5,GRPSUBGP,VARCHAR2,,3,76387,23,25,,,,,VARCHAR2,,
1071,1,6,CLMNBR,VARCHAR2,,21,76388,26,46,,,,,VARCHAR2,,
1071,1,7,DIAGCDEL,VARCHAR2,,5,76389,47,51,,,,,VARCHAR2,,
1071,1,8,PROCCODE,VARCHAR2,,5,76390,52,56,,,,,VARCHAR2,,
1071,1,9,PROCSRG1,VARCHAR2,,5,76391,57,61,,,,,VARCHAR2,,
1071,1,10,CONTSPCT,VARCHAR2,,2,76392,62,63,,,,,VARCHAR2,,
1071,1,11,TYPESVC,VARCHAR2,,3,76393,64,66,,,,,VARCHAR2,,
1071,1,12,PLACESVC,VARCHAR2,,2,76394,67,68,,,,,VARCHAR2,,
1071,1,13,FRSTDATE,DATE,YYYYMMDD,8,76395,69,76,,,,,DATE,,
1071,1,14,LASTDATE,DATE,YYYYMMDD,8,76396,77,84,,,,,DATE,,
1071,1,15,CHARGESV,NUMBER,,9,76397,85,93,,,,,NUMBER,,
1071,1,16,OISCAMT,NUMBER,,9,76398,94,102,,,,,NUMBER,,
1071,1,17,DEDUCTLN,NUMBER,,9,76399,103,111,,,,,NUMBER,,
1071,1,18,COPAYLN,NUMBER,,9,76400,112,120,,,,,NUMBER,,
1071,1,19,COINSLN,NUMBER,,9,76401,121,129,,,,,NUMBER,,
1071,1,20,MEMBER,VARCHAR2,,2,76402,130,131,,,,,VARCHAR2,,
1071,1,21,NBRSVCS,NUMBER,,4,76403,132,135,,,,,NUMBER,,
1071,1,22,PROCMOD1,VARCHAR2,,2,76404,136,137,,,,,VARCHAR2,,
1071,1,23,PROCMOD2,VARCHAR2,,2,76405,138,139,,,,,VARCHAR2,,
1071,1,24,PRCSMNTH,VARCHAR2,,6,76406,140,145,,,,,VARCHAR2,,
1071,1,25,TYPECARE,VARCHAR2,,3,76407,146,148,,,,,VARCHAR2,,
1071,1,26,DAYSSVC,NUMBER,,4,76408,149,152,,,,,NUMBER,,
1071,1,27,PLACECAR,VARCHAR2,,2,76409,153,154,,,,,VARCHAR2,,
1071,1,28,PRVBILL,VARCHAR2,,1,76410,155,155,,,,,VARCHAR2,,
1071,1,29,SOURCE,VARCHAR2,,1,76411,156,156,,,,,VARCHAR2,,
1071,1,30,PATLNAME,VARCHAR2,,20,76412,157,176,,,,,VARCHAR2,,
1071,1,31,PATFNAME,VARCHAR2,,10,76413,177,186,,,,,VARCHAR2,,
1071,1,32,SUBZIP,VARCHAR2,,5,76414,187,191,,,,,VARCHAR2,,
1071,1,33,PATDAT,DATE,YYYYMMDD,8,76415,192,199,,,,,DATE,,
1071,1,34,NAME,VARCHAR2,,30,76416,200,229,,,,,VARCHAR2,,
1071,1,35,TAXPROV,VARCHAR2,,9,76417,230,238,,,,,VARCHAR2,,
1071,1,36,CONZIP,VARCHAR2,,5,76418,239,243,,,,,VARCHAR2,,
1071,1,37,CONTSPC,VARCHAR2,,2,76419,244,245,,,,,VARCHAR2,,
1071,1,38,CONTPART,VARCHAR2,,1,76420,246,246,,,,,VARCHAR2,,
1071,1,39,DIAGCLSS,VARCHAR2,,2,76421,247,248,,,,,VARCHAR2,,
1071,1,40,COVERLN,NUMBER,,9,76422,249,257,,,,,NUMBER,,
1071,1,41,DIAGCDE1,VARCHAR2,,5,76423,258,262,,,,,VARCHAR2,,
1071,1,42,DIAGCDE2,VARCHAR2,,5,76424,263,267,,,,,VARCHAR2,,
1071,1,43,DIAGCDE3,VARCHAR2,,5,76425,268,272,,,,,VARCHAR2,,
1071,1,44,PROCSRG2,VARCHAR2,,5,76426,273,277,,,,,VARCHAR2,,
1071,1,45,PROCSRG3,VARCHAR2,,5,76427,278,282,,,,,VARCHAR2,,
1071,1,46,NETPAYLN,NUMBER,,9,76428,283,291,,,,,NUMBER,,
1071,1,47,SVCCODE,VARCHAR2,,3,76429,292,294,,,,,VARCHAR2,,
1071,1,48,SINGFAM,VARCHAR2,,2,76430,295,296,,,,,VARCHAR2,,
1071,1,49,RECDTE,DATE,YYYYMMDD,8,76431,297,304,,,,,DATE,,
1071,1,50,SAVINGS,NUMBER,,9,76432,305,313,,,,,NUMBER,,
1071,1,51,OICODE,VARCHAR2,,3,76433,314,316,,,,,VARCHAR2,,
1071,1,52,NETWORK,VARCHAR2,,3,76434,317,319,,,,,VARCHAR2,,
1071,1,53,REVENUE,VARCHAR2,,4,76435,320,323,,,,,VARCHAR2,,
1071,1,54,FACPROC,VARCHAR2,,5,76436,324,328,,,,,VARCHAR2,,
1071,1,55,REVSEQ,VARCHAR2,,6,76437,329,334,,,,,VARCHAR2,,
1071,1,56,CHARGERV,NUMBER,,9,76438,335,343,,,,,NUMBER,,
1071,1,57,LINENBR,VARCHAR2,,6,76439,344,349,,,,,VARCHAR2,,
1071,1,58,DATECHANGED,DATE,YYYYMMDD,9,76440,350,358,,,,,DATE,,
