LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3513,1,1,DATASOURCE,VARCHAR2,,200,280589,1,200,,,,,VARCHAR2,,
3513,1,2,COMPANYCD,VARCHAR2,,200,280590,201,400,,,,,VARCHAR2,,
3513,1,3,RELATIONTRUSTCD,VARCHAR2,,200,280591,401,600,,,,,VARCHAR2,,
3513,1,4,ELIGMNTH,VARCHAR2,,200,280592,601,800,,,,,VARCHAR2,,
3513,1,5,RECORD_CNT,VARCHAR2,,200,280593,801,1000,,,,,VARCHAR2,,
